time,EMA
2022-04-04 20:00,369.0799
2022-04-04 19:55,369.0862
2022-04-04 19:50,369.0942
2022-04-04 19:45,369.0894
2022-04-04 19:40,369.0788
2022-04-04 19:35,369.0702
2022-04-04 19:30,369.0692
2022-04-04 19:25,369.0733
2022-04-04 19:20,369.0737
2022-04-04 19:15,369.0761
2022-04-04 19:10,369.0726
2022-04-04 19:05,369.0739
2022-04-04 19:00,369.0712
2022-04-04 18:55,369.0723
2022-04-04 18:50,369.0747
2022-04-04 18:45,369.0825
2022-04-04 18:40,369.0912
2022-04-04 18:35,369.0998
2022-04-04 18:30,369.0987
2022-04-04 18:25,369.1017
2022-04-04 18:20,369.1051
2022-04-04 18:15,369.1046
2022-04-04 18:10,369.1103
2022-04-04 18:05,369.1103
2022-04-04 18:00,369.1104
2022-04-04 17:55,369.1104
2022-04-04 17:50,369.1105
2022-04-04 17:45,369.1105
2022-04-04 17:40,369.1116
2022-04-04 17:35,369.1097
2022-04-04 17:30,369.1002
2022-04-04 17:25,369.0896
2022-04-04 17:20,369.0801
2022-04-04 17:15,369.0644
2022-04-04 17:10,369.0438
2022-04-04 17:05,369.0231
2022-04-04 17:00,369.0087
2022-04-04 16:55,368.9812
2022-04-04 16:50,368.9582
2022-04-04 16:45,368.9064
2022-04-04 16:40,368.8544
2022-04-04 16:35,368.8160
2022-04-04 16:30,368.7713
2022-04-04 16:25,368.7230
2022-04-04 16:20,368.6802
2022-04-04 16:15,368.6444
2022-04-04 16:10,368.5986
2022-04-04 16:05,368.5395
2022-04-04 16:00,368.4615
2022-04-04 15:55,368.4038
2022-04-04 15:50,368.3884
2022-04-04 15:45,368.3746
2022-04-04 15:40,368.3129
2022-04-04 15:35,368.2596
2022-04-04 15:30,368.2143
2022-04-04 15:25,368.1505
2022-04-04 15:20,368.1168
2022-04-04 15:15,368.0797
2022-04-04 15:10,368.0281
2022-04-04 15:05,367.9931
2022-04-04 15:00,367.9555
2022-04-04 14:55,367.8867
2022-04-04 14:50,367.8253
2022-04-04 14:45,367.7700
2022-04-04 14:40,367.7169
2022-04-04 14:35,367.6592
2022-04-04 14:30,367.6262
2022-04-04 14:25,367.6258
2022-04-04 14:20,367.6338
2022-04-04 14:15,367.6784
2022-04-04 14:10,367.7520
2022-04-04 14:05,367.7469
2022-04-04 14:00,367.7060
2022-04-04 13:55,367.6888
2022-04-04 13:50,367.6792
2022-04-04 13:45,367.6623
2022-04-04 13:40,367.6562
2022-04-04 13:35,367.6410
2022-04-04 13:30,367.6280
2022-04-04 13:25,367.6194
2022-04-04 13:20,367.6161
2022-04-04 13:15,367.6315
2022-04-04 13:10,367.6306
2022-04-04 13:05,367.6423
2022-04-04 13:00,367.6478
2022-04-04 12:55,367.6339
2022-04-04 12:50,367.6217
2022-04-04 12:45,367.6013
2022-04-04 12:40,367.5614
2022-04-04 12:35,367.4869
2022-04-04 12:30,367.4149
2022-04-04 12:25,367.3555
2022-04-04 12:20,367.2918
2022-04-04 12:15,367.2183
2022-04-04 12:10,367.1550
2022-04-04 12:05,367.0808
2022-04-04 12:00,366.9972
2022-04-04 11:55,366.8780
2022-04-04 11:50,366.7609
2022-04-04 11:45,366.6631
2022-04-04 11:40,366.5676
2022-04-04 11:35,366.4632
2022-04-04 11:30,366.3414
2022-04-04 11:25,366.2395
2022-04-04 11:20,366.1326
2022-04-04 11:15,365.9855
2022-04-04 11:10,365.8102
2022-04-04 11:05,365.6355
2022-04-04 11:00,365.5214
2022-04-04 10:55,365.4205
2022-04-04 10:50,365.3068
2022-04-04 10:45,365.2023
2022-04-04 10:40,365.0394
2022-04-04 10:35,364.9298
2022-04-04 10:30,364.7793
2022-04-04 10:25,364.6392
2022-04-04 10:20,364.5128
2022-04-04 10:15,364.3510
2022-04-04 10:10,364.1501
2022-04-04 10:05,363.9132
2022-04-04 10:00,363.6514
2022-04-04 09:55,363.4200
2022-04-04 09:50,363.2127
2022-04-04 09:45,363.0150
2022-04-04 09:40,362.8861
2022-04-04 09:35,362.8667
2022-04-04 09:30,362.8832
2022-04-04 09:25,362.8941
2022-04-04 09:20,362.8956
2022-04-04 09:15,362.9035
2022-04-04 09:10,362.9313
2022-04-04 09:05,362.9514
2022-04-04 09:00,363.0063
2022-04-04 08:55,363.0628
2022-04-04 08:50,363.1262
2022-04-04 08:45,363.1574
2022-04-04 08:40,363.1866
2022-04-04 08:35,363.1936
2022-04-04 08:30,363.2140
2022-04-04 08:25,363.2049
2022-04-04 08:20,363.2139
2022-04-04 08:15,363.2269
2022-04-04 08:10,363.2403
2022-04-04 08:05,363.2340
2022-04-04 08:00,363.2239
2022-04-04 07:55,363.2095
2022-04-04 07:50,363.2263
2022-04-04 07:45,363.2333
2022-04-04 07:40,363.2463
2022-04-04 07:35,363.2501
2022-04-04 07:30,363.2375
2022-04-04 07:25,363.2214
2022-04-04 07:20,363.2037
2022-04-04 07:15,363.1978
2022-04-04 07:10,363.1860
2022-04-04 07:05,363.1876
2022-04-04 07:00,363.1800
2022-04-04 06:55,363.1705
2022-04-04 06:50,363.1664
2022-04-04 06:45,363.1544
2022-04-04 06:40,363.1349
2022-04-04 06:35,363.1017
2022-04-04 06:30,363.0598
2022-04-04 06:25,362.9903
2022-04-04 06:20,362.9314
2022-04-04 06:15,362.8789
2022-04-04 06:10,362.8230
2022-04-04 06:05,362.7844
2022-04-04 06:00,362.7206
2022-04-04 05:55,362.6902
2022-04-04 05:50,362.6344
2022-04-04 05:45,362.5812
2022-04-04 05:40,362.5045
2022-04-04 05:35,362.4418
2022-04-04 05:30,362.3883
2022-04-04 05:25,362.3155
2022-04-04 05:20,362.2318
2022-04-04 05:15,362.1247
2022-04-04 05:10,362.0283
2022-04-04 05:05,361.9702
2022-04-04 05:00,361.9334
2022-04-04 04:55,361.8885
2022-04-04 04:50,361.8557
2022-04-04 04:45,361.8353
2022-04-04 04:40,361.8106
2022-04-04 04:35,361.7591
2022-04-04 04:30,361.7084
2022-04-04 04:25,361.6778
2022-04-04 04:20,361.6575
2022-04-04 04:15,361.6488
2022-04-04 04:10,361.6382
2022-04-04 04:05,361.6348
2022-04-01 20:00,361.6701
2022-04-01 19:55,361.6690
2022-04-01 19:50,361.6710
2022-04-01 19:45,361.6701
2022-04-01 19:35,361.6669
2022-04-01 19:30,361.6550
2022-04-01 19:25,361.6503
2022-04-01 19:15,361.6430
2022-04-01 19:10,361.6275
2022-04-01 19:00,361.6167
2022-04-01 18:40,361.5943
2022-04-01 18:35,361.5779
2022-04-01 18:25,361.5703
2022-04-01 18:20,361.5566
2022-04-01 18:15,361.5310
2022-04-01 18:10,361.5027
2022-04-01 17:55,361.4714
2022-04-01 17:50,361.4336
2022-04-01 17:45,361.3951
2022-04-01 17:40,361.3640
2022-04-01 17:35,361.3360
2022-04-01 17:30,361.2988
2022-04-01 17:25,361.2534
2022-04-01 17:20,361.2200
2022-04-01 17:15,361.1770
2022-04-01 17:10,361.1409
2022-04-01 17:05,361.1074
2022-04-01 17:00,361.0535
2022-04-01 16:55,361.0159
2022-04-01 16:50,360.9818
2022-04-01 16:45,360.9325
2022-04-01 16:40,360.8854
2022-04-01 16:35,360.8397
2022-04-01 16:30,360.7775
2022-04-01 16:25,360.7131
2022-04-01 16:20,360.6555
2022-04-01 16:15,360.6024
2022-04-01 16:10,360.5026
2022-04-01 16:05,360.3619
2022-04-01 16:00,360.2031
2022-04-01 15:55,360.0740
2022-04-01 15:50,360.0975
2022-04-01 15:45,360.1815
2022-04-01 15:40,360.2501
2022-04-01 15:35,360.3427
2022-04-01 15:30,360.3945
2022-04-01 15:25,360.4750
2022-04-01 15:20,360.5576
2022-04-01 15:15,360.5500
2022-04-01 15:10,360.5290
2022-04-01 15:05,360.4720
2022-04-01 15:00,360.4470
2022-04-01 14:55,360.4014
2022-04-01 14:50,360.3121
2022-04-01 14:45,360.1923
2022-04-01 14:40,360.0915
2022-04-01 14:35,359.9443
2022-04-01 14:30,359.8384
2022-04-01 14:25,359.7791
2022-04-01 14:20,359.7030
2022-04-01 14:15,359.6222
2022-04-01 14:10,359.5709
2022-04-01 14:05,359.5152
2022-04-01 14:00,359.5115
2022-04-01 13:55,359.5222
2022-04-01 13:50,359.5035
2022-04-01 13:45,359.4691
2022-04-01 13:40,359.4417
2022-04-01 13:35,359.4955
2022-04-01 13:30,359.5540
2022-04-01 13:25,359.5986
2022-04-01 13:20,359.6648
2022-04-01 13:15,359.7632
2022-04-01 13:10,359.8383
2022-04-01 13:05,359.9160
2022-04-01 13:00,360.0072
2022-04-01 12:55,360.0595
2022-04-01 12:50,360.1015
2022-04-01 12:45,360.1575
2022-04-01 12:40,360.2635
2022-04-01 12:35,360.3955
2022-04-01 12:30,360.4429
2022-04-01 12:25,360.5169
2022-04-01 12:20,360.6576
2022-04-01 12:15,360.7727
2022-04-01 12:10,360.9035
2022-04-01 12:05,361.0933
2022-04-01 12:00,361.2579
2022-04-01 11:55,361.3508
2022-04-01 11:50,361.4877
2022-04-01 11:45,361.6612
2022-04-01 11:40,361.8250
2022-04-01 11:35,361.9413
2022-04-01 11:30,362.0290
2022-04-01 11:25,362.0783
2022-04-01 11:20,362.1191
2022-04-01 11:15,362.1611
2022-04-01 11:10,362.1328
2022-04-01 11:05,362.0974
2022-04-01 11:00,362.0476
2022-04-01 10:55,361.9974
2022-04-01 10:50,361.9687
2022-04-01 10:45,361.9738
2022-04-01 10:40,362.0173
2022-04-01 10:35,362.0327
2022-04-01 10:30,362.0995
2022-04-01 10:25,362.2163
2022-04-01 10:20,362.3127
2022-04-01 10:15,362.3193
2022-04-01 10:10,362.4171
2022-04-01 10:05,362.5579
2022-04-01 10:00,362.6787
2022-04-01 09:55,362.8733
2022-04-01 09:50,362.9715
2022-04-01 09:45,363.0517
2022-04-01 09:40,363.1561
2022-04-01 09:35,363.2262
2022-04-01 09:30,363.2700
2022-04-01 09:25,363.3037
2022-04-01 09:20,363.3378
2022-04-01 09:15,363.3786
2022-04-01 09:10,363.4437
2022-04-01 09:05,363.5430
2022-04-01 09:00,363.6181
2022-04-01 08:55,363.6884
2022-04-01 08:50,363.7535
2022-04-01 08:45,363.8139
2022-04-01 08:40,363.8406
2022-04-01 08:35,363.8870
2022-04-01 08:30,363.8888
2022-04-01 08:25,363.8750
2022-04-01 08:20,363.8660
2022-04-01 08:15,363.8677
2022-04-01 08:10,363.8538
2022-04-01 08:05,363.8584
2022-04-01 08:00,363.8498
2022-04-01 07:55,363.8340
2022-04-01 07:50,363.8218
2022-04-01 07:45,363.8240
2022-04-01 07:40,363.8266
2022-04-01 07:35,363.8241
2022-04-01 07:30,363.8351
2022-04-01 07:25,363.8419
2022-04-01 07:20,363.8621
2022-04-01 07:15,363.8802
2022-04-01 07:10,363.8855
2022-04-01 07:05,363.8882
2022-04-01 07:00,363.8754
2022-04-01 06:55,363.8780
2022-04-01 06:50,363.8789
2022-04-01 06:45,363.8756
2022-04-01 06:40,363.8614
2022-04-01 06:35,363.8363
2022-04-01 06:30,363.8023
2022-04-01 06:25,363.7678
2022-04-01 06:20,363.7328
2022-04-01 06:15,363.6931
2022-04-01 06:10,363.6418
2022-04-01 06:05,363.6020
2022-04-01 06:00,363.5601
2022-04-01 05:55,363.5296
2022-04-01 05:50,363.5085
2022-04-01 05:45,363.4810
2022-04-01 05:40,363.4432
2022-04-01 05:35,363.3878
2022-04-01 05:30,363.3770
2022-04-01 05:25,363.3736
2022-04-01 05:20,363.3960
2022-04-01 05:15,363.4114
2022-04-01 05:10,363.4410
2022-04-01 05:05,363.4580
2022-04-01 05:00,363.4525
2022-04-01 04:50,363.4433
2022-04-01 04:45,363.4057
2022-04-01 04:40,363.3937
2022-04-01 04:35,363.3762
2022-04-01 04:30,363.3653
2022-04-01 04:25,363.3374
2022-04-01 04:20,363.3150
2022-04-01 04:15,363.3008
2022-04-01 04:10,363.2630
2022-04-01 04:05,363.2055
2022-03-31 20:00,363.1608
2022-03-31 19:55,363.1640
2022-03-31 19:50,363.1728
2022-03-31 19:45,363.1647
2022-03-31 19:40,363.1589
2022-03-31 19:35,363.1567
2022-03-31 19:30,363.1500
2022-03-31 19:25,363.1511
2022-03-31 19:20,363.1449
2022-03-31 19:15,363.1401
2022-03-31 19:10,363.1422
2022-03-31 19:05,363.1446
2022-03-31 19:00,363.1440
2022-03-31 18:55,363.1445
2022-03-31 18:50,363.1407
2022-03-31 18:45,363.1366
2022-03-31 18:40,363.1384
2022-03-31 18:35,363.1445
2022-03-31 18:30,363.1671
2022-03-31 18:25,363.1921
2022-03-31 18:20,363.2177
2022-03-31 18:15,363.2333
2022-03-31 18:10,363.2368
2022-03-31 18:05,363.2344
2022-03-31 18:00,363.2464
2022-03-31 17:55,363.2671
2022-03-31 17:50,363.2899
2022-03-31 17:45,363.3152
2022-03-31 17:40,363.3462
2022-03-31 17:35,363.3806
2022-03-31 17:30,363.4049
2022-03-31 17:25,363.4275
2022-03-31 17:20,363.4556
2022-03-31 17:15,363.4878
2022-03-31 17:10,363.5255
2022-03-31 17:05,363.5629
2022-03-31 17:00,363.6011
2022-03-31 16:55,363.6359
2022-03-31 16:50,363.6671
2022-03-31 16:45,363.6983
2022-03-31 16:40,363.7445
2022-03-31 16:35,363.8123
2022-03-31 16:30,363.8978
2022-03-31 16:25,364.0134
2022-03-31 16:20,364.1032
2022-03-31 16:15,364.1930
2022-03-31 16:10,364.3418
2022-03-31 16:05,364.5483
2022-03-31 16:00,364.8144
2022-03-31 15:55,365.0454
2022-03-31 15:50,365.1291
2022-03-31 15:45,365.2438
2022-03-31 15:40,365.3031
2022-03-31 15:35,365.4139
2022-03-31 15:30,365.4586
2022-03-31 15:25,365.5205
2022-03-31 15:20,365.5245
2022-03-31 15:15,365.4776
2022-03-31 15:10,365.3711
2022-03-31 15:05,365.2564
2022-03-31 15:00,365.1834
2022-03-31 14:55,365.1648
2022-03-31 14:50,365.1585
2022-03-31 14:45,365.1394
2022-03-31 14:40,365.1109
2022-03-31 14:35,365.1321
2022-03-31 14:30,365.1355
2022-03-31 14:25,365.1497
2022-03-31 14:20,365.2001
2022-03-31 14:15,365.2612
2022-03-31 14:10,365.3160
2022-03-31 14:05,365.3693
2022-03-31 14:00,365.3734
2022-03-31 13:55,365.3422
2022-03-31 13:50,365.3277
2022-03-31 13:45,365.3269
2022-03-31 13:40,365.3487
2022-03-31 13:35,365.3354
2022-03-31 13:30,365.3186
2022-03-31 13:25,365.3668
2022-03-31 13:20,365.4002
2022-03-31 13:15,365.4739
2022-03-31 13:10,365.5385
2022-03-31 13:05,365.5820
2022-03-31 13:00,365.6598
2022-03-31 12:55,365.7240
2022-03-31 12:50,365.7560
2022-03-31 12:45,365.7893
2022-03-31 12:40,365.8534
2022-03-31 12:35,365.9580
2022-03-31 12:30,366.0231
2022-03-31 12:25,366.1139
2022-03-31 12:20,366.1827
2022-03-31 12:15,366.2704
2022-03-31 12:10,366.3168
2022-03-31 12:05,366.3638
2022-03-31 12:00,366.3579
2022-03-31 11:55,366.3824
2022-03-31 11:50,366.4090
2022-03-31 11:45,366.4157
2022-03-31 11:40,366.4331
2022-03-31 11:35,366.4714
2022-03-31 11:30,366.5105
2022-03-31 11:25,366.5284
2022-03-31 11:20,366.5572
2022-03-31 11:15,366.5653
2022-03-31 11:10,366.5522
2022-03-31 11:05,366.5198
2022-03-31 11:00,366.4513
2022-03-31 10:55,366.4073
2022-03-31 10:50,366.3165
2022-03-31 10:45,366.3012
2022-03-31 10:40,366.3044
2022-03-31 10:35,366.2923
2022-03-31 10:30,366.3557
2022-03-31 10:25,366.4331
2022-03-31 10:20,366.4545
2022-03-31 10:15,366.5055
2022-03-31 10:10,366.6103
2022-03-31 10:05,366.7977
2022-03-31 10:00,366.8890
2022-03-31 09:55,367.0436
2022-03-31 09:50,367.2251
2022-03-31 09:45,367.4109
2022-03-31 09:40,367.5720
2022-03-31 09:35,367.7322
2022-03-31 09:30,367.7840
2022-03-31 09:25,367.8108
2022-03-31 09:20,367.8509
2022-03-31 09:15,367.8857
2022-03-31 09:10,367.9042
2022-03-31 09:05,367.8909
2022-03-31 09:00,367.8868
2022-03-31 08:55,367.9223
2022-03-31 08:50,367.9541
2022-03-31 08:45,367.9861
2022-03-31 08:40,368.0120
2022-03-31 08:35,368.0164
2022-03-31 08:30,368.0160
2022-03-31 08:25,368.0072
2022-03-31 08:20,368.0059
2022-03-31 08:15,367.9907
2022-03-31 08:10,367.9623
2022-03-31 08:05,367.9531
2022-03-31 08:00,367.9345
2022-03-31 07:55,367.9529
2022-03-31 07:50,367.9616
2022-03-31 07:45,367.9744
2022-03-31 07:40,368.0127
2022-03-31 07:35,368.0825
2022-03-31 07:30,368.1606
2022-03-31 07:25,368.2260
2022-03-31 07:20,368.2845
2022-03-31 07:15,368.3271
2022-03-31 07:10,368.3741
2022-03-31 07:05,368.3998
2022-03-31 07:00,368.4346
2022-03-31 06:55,368.4487
2022-03-31 06:50,368.4623
2022-03-31 06:45,368.4762
2022-03-31 06:40,368.4916
2022-03-31 06:35,368.5096
2022-03-31 06:30,368.5286
2022-03-31 06:25,368.5463
2022-03-31 06:20,368.5827
2022-03-31 06:15,368.6020
2022-03-31 06:10,368.6043
2022-03-31 06:05,368.5879
2022-03-31 06:00,368.5951
2022-03-31 05:55,368.5861
2022-03-31 05:50,368.5783
2022-03-31 05:45,368.5634
2022-03-31 05:40,368.5406
2022-03-31 05:35,368.5228
2022-03-31 05:30,368.5010
2022-03-31 05:25,368.4779
2022-03-31 05:20,368.4472
2022-03-31 05:15,368.4280
2022-03-31 05:10,368.4256
2022-03-31 05:05,368.4083
2022-03-31 05:00,368.3734
2022-03-31 04:55,368.3338
2022-03-31 04:45,368.3121
2022-03-31 04:40,368.3028
2022-03-31 04:35,368.2768
2022-03-31 04:30,368.2354
2022-03-31 04:25,368.2076
2022-03-31 04:20,368.1557
2022-03-31 04:15,368.0953
2022-03-31 04:10,368.0158
2022-03-31 04:05,367.9027
2022-03-30 20:00,367.8336
2022-03-30 19:55,367.8392
2022-03-30 19:50,367.8507
2022-03-30 19:45,367.8602
2022-03-30 19:40,367.8708
2022-03-30 19:35,367.8804
2022-03-30 19:30,367.8867
2022-03-30 19:20,367.8822
2022-03-30 19:15,367.8676
2022-03-30 19:10,367.8632
2022-03-30 19:05,367.8498
2022-03-30 19:00,367.8424
2022-03-30 18:55,367.8364
2022-03-30 18:50,367.8297
2022-03-30 18:45,367.8202
2022-03-30 18:40,367.8223
2022-03-30 18:35,367.8204
2022-03-30 18:30,367.8121
2022-03-30 18:25,367.8049
2022-03-30 18:20,367.8054
2022-03-30 18:15,367.8060
2022-03-30 18:10,367.7982
2022-03-30 18:05,367.8033
2022-03-30 18:00,367.7973
2022-03-30 17:55,367.7834
2022-03-30 17:50,367.7700
2022-03-30 17:45,367.7595
2022-03-30 17:40,367.7447
2022-03-30 17:35,367.7252
2022-03-30 17:30,367.7068
2022-03-30 17:25,367.6864
2022-03-30 17:20,367.6629
2022-03-30 17:15,367.6316
2022-03-30 17:10,367.5981
2022-03-30 17:05,367.5674
2022-03-30 17:00,367.5355
2022-03-30 16:55,367.4919
