time,open,high,low,close,volume
2020-05-08 20:00:00,225.43,225.45,225.42,225.42,2517
2020-05-08 19:59:00,225.46,225.55,225.43,225.55,3036
2020-05-08 19:58:00,225.47,225.47,225.47,225.47,2409
2020-05-08 19:57:00,225.46,225.51,225.46,225.51,1653
2020-05-08 19:56:00,225.42,225.42,225.42,225.42,252
2020-05-08 19:55:00,225.46,225.49,225.46,225.46,738
2020-05-08 19:54:00,225.45,225.45,225.45,225.45,2281
2020-05-08 19:51:00,225.45,225.5,225.45,225.5,1021
2020-05-08 19:50:00,225.39,225.45,225.39,225.45,2138
2020-05-08 19:49:00,225.39,225.41,225.39,225.41,705
2020-05-08 19:48:00,225.41,225.41,225.4,225.4,230
2020-05-08 19:46:00,225.45,225.45,225.41,225.45,1300
2020-05-08 19:45:00,225.43,225.43,225.41,225.41,400
2020-05-08 19:44:00,225.45,225.45,225.45,225.45,110
2020-05-08 19:42:00,225.44,225.44,225.41,225.43,650
2020-05-08 19:40:00,225.32,225.32,225.32,225.32,2429
2020-05-08 19:39:00,225.33,225.33,225.33,225.33,188
2020-05-08 19:38:00,225.4,225.4,225.35,225.35,3820
2020-05-08 19:37:00,225.52,225.67,225.36,225.36,2960
2020-05-08 19:36:00,225.64,225.64,225.64,225.64,155
2020-05-08 19:35:00,225.52,225.52,225.52,225.52,1968
2020-05-08 19:33:00,225.7,225.7,225.5,225.5,3712
2020-05-08 19:32:00,225.58,225.7,225.58,225.7,2035
2020-05-08 19:31:00,225.43,225.5,225.43,225.5,2262
2020-05-08 19:30:00,225.39,225.4,225.39,225.4,2182
2020-05-08 19:28:00,225.39,225.39,225.36,225.36,400
2020-05-08 19:27:00,225.39,225.39,225.38,225.38,330
2020-05-08 19:24:00,225.39,225.39,225.35,225.35,223
2020-05-08 19:23:00,225.39,225.39,225.39,225.39,100
2020-05-08 19:22:00,225.39,225.39,225.39,225.39,2022
2020-05-08 19:21:00,225.35,225.35,225.35,225.35,1487
2020-05-08 19:20:00,225.35,225.35,225.35,225.35,1841
2020-05-08 19:18:00,225.38,225.38,225.38,225.38,434
2020-05-08 19:17:00,225.33,225.33,225.33,225.33,200
2020-05-08 19:16:00,225.33,225.33,225.33,225.33,198
2020-05-08 19:15:00,225.33,225.33,225.33,225.33,452
2020-05-08 19:11:00,225.35,225.35,225.35,225.35,435
2020-05-08 19:09:00,225.32,225.32,225.32,225.32,400
2020-05-08 19:08:00,225.3201,225.3201,225.3201,225.3201,500
2020-05-08 19:07:00,225.32,225.32,225.32,225.32,550
2020-05-08 19:05:00,225.32,225.32,225.32,225.32,222
2020-05-08 19:04:00,225.32,225.35,225.32,225.35,2499
2020-05-08 18:59:00,225.33,225.33,225.33,225.33,5046
2020-05-08 18:58:00,225.42,225.42,225.33,225.33,375
2020-05-08 18:57:00,225.42,225.42,225.4,225.4,6015
2020-05-08 18:56:00,225.4,225.42,225.4,225.42,1788
2020-05-08 18:55:00,225.4,225.4,225.4,225.4,422
2020-05-08 18:52:00,225.4,225.41,225.4,225.41,4703
2020-05-08 18:51:00,225.4,225.4,225.4,225.4,1383
2020-05-08 18:50:00,225.4,225.4,225.36,225.4,794
2020-05-08 18:49:00,225.37,225.39,225.36,225.39,2070
2020-05-08 18:48:00,225.36,225.37,225.36,225.37,3348
2020-05-08 18:47:00,225.33,225.33,225.33,225.33,330
2020-05-08 18:46:00,225.33,225.33,225.33,225.33,520
2020-05-08 18:44:00,225.34,225.36,225.34,225.34,9308
2020-05-08 18:43:00,225.35,225.35,225.33,225.34,2995
2020-05-08 18:42:00,225.31,225.35,225.25,225.35,1511
2020-05-08 18:41:00,225.31,225.31,225.31,225.31,280
2020-05-08 18:40:00,225.25,225.34,225.25,225.25,7262
2020-05-08 18:39:00,225.2,225.25,225.2,225.25,2958
2020-05-08 18:36:00,225.23,225.23,225.23,225.23,100
2020-05-08 18:34:00,225.12,225.2,225.12,225.2,2284
2020-05-08 18:32:00,225.13,225.13,225.13,225.13,200
2020-05-08 18:31:00,225.15,225.15,225.15,225.15,200
2020-05-08 18:28:00,225.13,225.13,225.13,225.13,900
2020-05-08 18:27:00,225.19,225.19,225.17,225.17,200
2020-05-08 18:25:00,225.13,225.13,225.13,225.13,150
2020-05-08 18:22:00,225.13,225.13,225.13,225.13,500
2020-05-08 18:17:00,225.12,225.12,225.12,225.12,510
2020-05-08 18:16:00,225.15,225.15,225.15,225.15,525
2020-05-08 18:15:00,225.11,225.12,225.11,225.11,520
2020-05-08 18:09:00,225.09,225.15,225.09,225.15,602
2020-05-08 18:08:00,225.12,225.19,225.09,225.09,1227
2020-05-08 18:05:00,225.14,225.16,225.14,225.16,920
2020-05-08 18:02:00,225.14,225.14,225.14,225.14,2050
2020-05-08 18:01:00,225.11,225.11,225.11,225.11,234
2020-05-08 18:00:00,225.1,225.15,225.1,225.15,1369
2020-05-08 17:59:00,225.05,225.05,225.05,225.05,113
2020-05-08 17:58:00,225.05,225.06,225.05,225.06,325
2020-05-08 17:55:00,225.05,225.05,225.05,225.05,528
2020-05-08 17:53:00,225.05,225.05,225.05,225.05,1102
2020-05-08 17:52:00,225.03,225.05,225.03,225.05,2870
2020-05-08 17:47:00,224.98,225.0,224.98,225.0,200
2020-05-08 17:45:00,225.07,225.08,225.07,225.08,400
2020-05-08 17:43:00,225.08,225.08,225.08,225.08,1569
2020-05-08 17:42:00,225.0,225.08,225.0,225.08,1566
2020-05-08 17:39:00,224.96,225.0,224.96,225.0,1081
2020-05-08 17:38:00,224.98,224.98,224.96,224.96,3304
2020-05-08 17:37:00,224.98,225.0,224.98,224.98,1374
2020-05-08 17:34:00,225.0,225.0,225.0,225.0,100
2020-05-08 17:28:00,224.96,224.96,224.95,224.95,630
2020-05-08 17:27:00,224.96,224.96,224.96,224.96,708
2020-05-08 17:26:00,225.0,225.0,224.95,224.95,4759
2020-05-08 17:23:00,225.0,225.17,225.0,225.0,6420
2020-05-08 17:22:00,225.0,225.0,225.0,225.0,439
2020-05-08 17:20:00,225.0,225.0,225.0,225.0,1642
2020-05-08 17:18:00,225.0,225.0,225.0,225.0,501
2020-05-08 17:17:00,225.0,225.0,225.0,225.0,5519
2020-05-08 17:13:00,225.0,225.0,225.0,225.0,2505
2020-05-08 17:10:00,225.02,225.02,225.02,225.02,207
2020-05-08 17:08:00,225.02,225.02,225.02,225.02,207
2020-05-08 17:07:00,225.0,225.0,225.0,225.0,101
2020-05-08 17:03:00,225.0,225.05,224.96,225.0,1751
2020-05-08 17:02:00,224.98,224.98,224.98,224.98,929
2020-05-08 17:00:00,225.02,225.04,225.02,225.04,971
2020-05-08 16:59:00,225.05,225.05,225.04,225.04,2808
2020-05-08 16:58:00,225.03,225.04,225.03,225.04,12315
2020-05-08 16:57:00,225.1,225.1,225.07,225.07,4075
2020-05-08 16:56:00,225.12,225.12,225.07,225.07,17424
2020-05-08 16:55:00,225.14,225.14,225.12,225.12,4530
2020-05-08 16:54:00,225.16,225.1999,225.14,225.14,3875
2020-05-08 16:53:00,225.12,225.2,225.12,225.2,17242
2020-05-08 16:52:00,225.09,225.13,225.07,225.12,9427
2020-05-08 16:51:00,225.08,225.09,225.05,225.09,5062
2020-05-08 16:50:00,225.05,225.11,225.05,225.09,3258
2020-05-08 16:49:00,225.03,225.03,225.03,225.03,310
2020-05-08 16:48:00,225.01,225.01,225.0,225.0001,3024
2020-05-08 16:47:00,225.02,225.02,224.99,224.99,818
2020-05-08 16:46:00,225.02,225.03,225.02,225.02,11541
